clo_code,course_code,description,pi_code,plo_code,assessment_level,bloom_level,weight,keywords,assessment_methods
CLO 1_ME2206,ME2206,Hiểu rõ được các kiến thức cần thiết về tác dụng cơ học,PI 4.1,PLO4,PI 4.1,2,1.0,"['hiểu', 'dụng', 'thức', 'thiết', 'kiến']",[]
CLO 2_ME2206,ME2206,"Sử dụng và lựa chọn đúng các đặc trưng, trạng thái cơ học liên quan đến sức bền vật liệu",PI 4.2,PLO4,PI 4.2,3,1.0,"['trạng', 'thái', 'trưng', 'đúng', 'dụng', 'quan', 'chọn', 'liệu', 'liên']",[]
CLO 3_ME2206,ME2206,"Có tư duy phân tích và tính toán được các bài toán liên quan đến sức bền vật liệu (chuyển vị, siêu tĩnh, hệ lực chịu tải động...)",PI 8.2,PLO8,PI 8.2,3,1.0,"['động', 'toán', 'siêu', 'tính', 'tích', 'chuyển', 'tĩnh', 'phân', 'quan', 'chịu']",[]
CLO 4_ME2206,ME2206,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO4_,,") và bố cục thành các chương như sau: Chương 1. Khái niệm chung về bản vẽ điện, điện tử: 3 (02 LT; 01 BT) Chương 2. Các ký hiệu, quy ước dùng trong bản vẽ điện, điện tử: 09 (06 LT; 03 BT) Chương 3. Vẽ sơ đồ điện: 12 (09 LT; 03 BT) Chương 4. Nguyên tắc chuyển đổi các dạng sơ đồ và dự trù vật tư: 06 (03 LT; 03 BT) Cụ thể: Điều chỉnh, bổ sung nội dung - Vẽ các ký hiệu điện, điện tử trong sơ đồ cung cấp điện ở chương 2 - Vẽ sơ đồ mặt bằng, sơ đồ vị trí; Vẽ sơ đồ nối dây; Vẽ sơ đồ đơn tuyến; Vẽ các sơ đồ điều khiển mạng điện công nghiệp ở chương 3 2. Ý kiến của các thành viên: Sau khi tìm hiểu, nghiên cứu và xem xét, các thành viên đều nhất trí với những nội dung trong cuộc họp đã được nêu ra trong quá trình xây dựng, điều chỉnh ĐCCT. Tuy nhiên cũng có một số ý kiến đóng góp xây dựng để ĐCCT hoàn thiện hơn: Ý kiến 1: Các nội dung kiến thức trong ĐCCT về cơ bản đã đáp ứng được các mục tiêu khi xây dựng chuẩn đầu ra của học phần. Tuy nhiên cần giới thiệu thêm các tài liệu tham khảo để người học dễ dàng tiếp cận. Ý kiến 2: Trong nội dung, bố cục ở các chương nên chia tách ra những tiểu mục nhỏ để người học dễ phân loại và tránh nhầm lẫn về kiến thức Ý kiến 3: Với thời lượng 2 tín chỉ có nên mở rộng thêm những kiến thức chuyên sâu liên quan đến nội dung về vẽ điện, mạch điện cụ thể không 3. Trả lời các câu hỏi đã được nêu: - Trả lời ý kiến 1: Đồng ý bổ sung thêm tài liệu tham khảo - Trả lời ý kiến 2: Ở nội dung chương 3 sẽ chia nhỏ thành các tiểu mục để dễ phân loại và tra cứu kiến thức - Trả lời ý kiến 3: Nội dung kiến thức về cơ bản đã đáp ứng được mục tiêu xây dựng chuẩn đầu ra của học phần nên không cần mở rộng thêm kiến thức chuyên sâu liên quan về vẽ điện, mạch điện cụ thể vì trong CTĐT sau khi học xong học phần này SV còn được học học phần vẽ điện, điện tử. 4. Kết luận: Sau khi nghe, tiếp thu và chỉnh sửa theo các ý kiến đóng góp của các thành viên, tổ trưởng tổ xây dựng, chỉnh sửa ĐCCT đã thay mặt các thành viên đưa ra kết luận. - Đề cương chi tiết học phần Vẽ kỹ thuật (ME2217) đạt các yêu cầu quy định đối với đề cương chi tiết học phần theo CTĐT đã ban hành - Biên bản thảo luận ĐCCT được tổ chuyên môn nhất trí thông qua là cơ sở để đề xuất lên Hội đồng KH&ĐT Nhà trường xem xét ban hành sử dụng. Phiên họp kết thúc vào hồi 11 giờ 00, ngày 21 tháng 08 năm 2023. Các thành viên trong cuộc họp 100% nhất trí theo kết luận cuộc họp.",,,,2,1.0,"['tách', 'biên', 'thức', 'khiển', 'thông', 'dạng', 'định', 'chỉnh', 'thay', 'thuật']",[]
CLO4_,,") và bố cục thành các chương như sau: Chương 1. Các khái niệm cơ bản về hệ tiên đề tĩnh học: 03 LT/BT Chương 2. Lý thuyết hệ lực: 08 LT/BT Chương 3. Ma sát giữa các vật rắn: 03 LT/BT Chương 4. Trọng tâm của vật rắn: 03 LT/BT Chương 5. Động học điểm: 03 LT/BT Chương 6. Chuyển động cơ bản của vật rắn: 10 LT/BT Cụ thể: Điều chỉnh, bổ sung nội dung - Các bài toán cơ bản của tĩnh học; các bài toán hệ vật ở chương 2 - Các phương pháp khảo sát chuyển động của điểm ở chương 5 2. Ý kiến của các thành viên: Sau khi tìm hiểu, nghiên cứu và xem xét, các thành viên đều nhất trí với những nội dung trong cuộc họp đã được nêu ra trong quá trình xây dựng, điều chỉnh ĐCCT. Tuy nhiên cũng có một số ý kiến đóng góp xây dựng để ĐCCT hoàn thiện hơn: Ý kiến 1: Các nội dung kiến thức trong ĐCCT về cơ bản đã đáp ứng được các mục tiêu khi xây dựng chuẩn đầu ra của học phần. Tuy nhiên cần bổ sung phương pháp dạy học tương thích với CĐR của CTĐT Ý kiến 2: Khối lượng kiến thức được phân bổ rõ ràng trong từng chương, bố cục sắp xếp hợp lý, khoa học phù hợp với chuẩn đầu ra. Nhưng cần bổ sung phần thực hành vào ĐCCT không Ý kiến 3: ĐCCT được trình bày đầy đủ các nội dung và đúng với biểu mẫu ban hành của Nhà trường 3. Trả lời các câu hỏi đã được nêu: - Trả lời ý kiến 1: Đồng ý bổ sung phương pháp dạy học phù hợp (PP1, 2, 3, 7, 16) - Trả lời ý kiến 2: Với thời lượng 2 tín chỉ, là môn học cơ sở ngành nên chưa cần thiết bổ sung phần thực hành trong ĐCCT 4. Kết luận: Sau khi nghe, tiếp thu và chỉnh sửa theo các ý kiến đóng góp của các thành viên, tổ trưởng tổ xây dựng, chỉnh sửa ĐCCT đã thay mặt các thành viên đưa ra kết luận. - Đề cương chi tiết học phần Cơ lý thuyết (ME2214) đạt các yêu cầu quy định đối với đề cương chi tiết học phần theo CTĐT đã ban hành - Biên bản thảo luận ĐCCT được tổ chuyên môn nhất trí thông qua là cơ sở để đề xuất lên Hội đồng KH&ĐT Nhà trường xem xét ban hành sử dụng. Phiên họp kết thúc vào hồi 11 giờ 00, ngày 21 tháng 08 năm 2023. Các thành viên trong cuộc họp 100% nhất trí theo kết luận cuộc họp.",,,,2,1.0,"['tĩnh', 'ràng', 'biên', 'thức', 'thông', 'thích', 'định', 'chỉnh', 'toán', 'thay']",[]
CLO 1_,,Hiểu rõ các quy ước về biểu diễn của các Tiêu chuẩn trình bày bản vẽ theo TCVN và ISO,PI 4.3,PLO4,PI 4.3,2,1.0,"['hiểu', 'tiêu', 'tcvn', 'theo', 'chuâ']",[]
CLO 2_,,"Sử dụng các kiến thức Hình họa và các Tiêu chuẩn để vẽ các bản vẽ biểu diễn vật thể, các bản vẽ chi tiết bằng cách sử dụng dụng cụ và vật liệu vẽ. Hiểu các khái niệm dung sai, nhám bề mặt, các quy ước về vẽ mối ghép, các phương pháp truyền động… để trình bày trong các bản vẽ lắp và bản vẽ chi tiết.",PI 4.3,PLO4,PI 4.3,3,1.0,"['phương', 'tiêu', 'dụng', 'dung', 'chuâ', 'truyê']",[]
CLO 3_,,"Có tư duy không gian, hiểu biết vận dụng tốt các quy ước biểu diễn vật thể phù hợp các Tiêu chuẩn quốc gia và quốc tế",PI 4.3,PLO4,PI 4.3,2,1.0,"['chuâ', 'tiêu', 'gian', 'không']",[]
CLO 4_,,"Có ý thức, thái độ học tập nghiêm túc. Rèn luyện tác phong khoa học, kiên nhẫn, tỷ mỷ, chính xác của người kỹ sư thiết kế.",PI 12.4,PLO12,PI 12.4,2,1.0,"['nghiêm', 'thái', 'ngươ', 'khoa', 'phong', 'thiê', 'luyê', 'thức', 'kiên']",[]
