text,clo_code,target_score,bloom_level,keywords_found,confidence,label,metadata,split
Bài làm mô tả hiểu và Phân tích tháo một cách logic chính xác,CLO 1_ME3263,3.57,2,"['thuật', 'trình', 'thức', 'dưỡng', 'động']",0.878,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': 'ME3263', 'original_clo_description': 'Trình bày và hiểu được các kiến thức về quy trình bảo dưỡng kỹ thuật, tháo lắp cơ cấu, hệ thống và sửa chữa động cơ;'}",train
Nội dung thiết kế rõ ràng về thuật. Sử dụng thuật ngữ chuyên môn đúng đắn,CLO6_,3.3,6,"['thuật', 'dựng', 'dưỡng', 'tiết', 'công']",0.823,positive,"{'template_used': 'Nội dung {action} rõ ràng về {concept}. {detail}', 'generation_method': 'synthetic_positive', 'course_code': '', 'original_clo_description': 'Năng lực chuyên môn để có thể tham gia thiết kế, chế tạo, vận hành, bảo trì, bảo dưỡng, sửa chữa ô tô truyền thống, xe ô tô điện và các chi tiết, phụ tùng của ô tô; Định hướng xây dựng các giải pháp công nghệ,\n kỹ thuật cho các lĩnh vực liên quan đến ngành ôtô'}",train
Bài làm áp dụng tính và Phân tích toán một cách logic chính xác,CLO 3_ME3260,3.15,3,"['động', 'xuất', 'tránh', 'tính', 'phòng']",0.887,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': 'ME3260', 'original_clo_description': 'Có tư duy tính toán, phòng tránh được các tai nạn liên quan đến an toàn lao động trong sản xuất thực tế'}",train
Sinh viên vận dụng ngoại một cách hoàn chỉnh. Áp dụng kiến thức AET3227 một cách hiệu quả,CLO1_AET3227,3.87,3,"['ngoại', 'lĩnh', 'thức', 'khoa', 'kiến']",0.866,positive,"{'template_used': 'Sinh viên {action} {concept} một cách {quality}. {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3227', 'original_clo_description': 'Vận dụng kiến thức về khoa học tự nhiên, ngoại ngữ, tin học vào lĩnh vực lắp ráp ô tô.'}",train
Sinh viên đã phân loại dụng xuất sắc và Áp dụng kiến thức AET4243 một cách hiệu quả,CLO 1_AET4243,3.11,2,"['phần', 'khoa', 'hiểu', 'nhiệm', 'dụng']",0.889,positive,"{'template_used': 'Sinh viên đã {action} {concept} {quality} và {detail}', 'generation_method': 'synthetic_positive', 'course_code': 'AET4243', 'original_clo_description': 'Hiểu rõ được nhiệm vụ học phần, vận dụng những kiến thức đã học để hoàn thành một nhiệm vụ khoa học được nêu trong đồ án.'}",train
Bài làm phân loại thích và Phân tích pháp một cách logic chi tiết,CLO 4_ME3270,3.18,2,"['tiêu', 'phương', 'thích', 'chọn']",0.946,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': 'ME3270', 'original_clo_description': 'Lựa chọn được phương pháp gia công thích hợp để đạt được các chỉ tiêu yêu cầu kỹ thuật'}",train
Báo cáo không thể hiện phản. thực hiện Kết luận cơ bản chưa tốt,CLO 2_ME3268,2.16,3,"['công', 'nhân']",0.745,neutral,"{'template_used': 'Báo cáo không thể hiện {concept}. {action} {detail} chưa tốt', 'generation_method': 'synthetic_neutral', 'course_code': 'ME3268', 'original_clo_description': 'Tính toán, lập báo cáo, thuyết trình, phản biện công việc cá nhân; lập kế hoạch, điều phối công việc khi làm việc nhóm.'}",train
Bài làm hiểu hiệu và Sử dụng thuật ngữ chuyên môn đúng đắn hoàn chỉnh,CLO 4_AET3261,3.07,2,"['chất', 'hình', 'nhân', 'việc']",0.836,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': 'AET3261', 'original_clo_description': 'Kỹ năng chuyên nghiệp và phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề'}",train
Sinh viên đã giải thích gian chi tiết và Sử dụng thuật ngữ chuyên môn đúng đắn,CLO 3_,3.65,2,"['không', 'tiêu', 'chuâ', 'gian']",0.912,positive,"{'template_used': 'Sinh viên đã {action} {concept} {quality} và {detail}', 'generation_method': 'synthetic_positive', 'course_code': '', 'original_clo_description': 'Có tư duy không gian, hiểu biết vận dụng tốt các quy ước biểu diễn vật thể phù hợp các Tiêu chuẩn quốc gia và quốc tế'}",train
Sinh viên chưa phân loại tích. Kết luận cơ bản không đầy đủ,CLO 4_ME2254,2.39,2,"['tích', 'thái']",0.77,neutral,"{'template_used': 'Sinh viên chưa {action} {concept}. {detail} không đầy đủ', 'generation_method': 'synthetic_neutral', 'course_code': 'ME2254', 'original_clo_description': 'Có ý thức, thái độ học tập nghiêm túc, tích cực'}",train
Báo cáo thể hiện đường chính xác. phân loại Hiểu cơ bản về đường,CLO 2_AET3277,2.6,2,"['đường', 'trên', 'thẳng']",0.801,neutral,"{'template_used': 'Báo cáo thể hiện {concept} {quality}. {action} {detail}', 'generation_method': 'synthetic_neutral', 'course_code': 'AET3277', 'original_clo_description': 'Nắm được các kỹ thuật lái xe ô tô trên đường thẳng; đường vòng; vào nhà đậu xe; tập lái trên đường hẹp'}",train
Bài làm thiếu khuyết. Không đánh giá Hiểu cơ bản về dạng,CLO 6_ME3271,2.77,4,"['phát', 'phục', 'kiểm']",0.829,neutral,"{'template_used': 'Bài làm thiếu {concept}. Không {action} {detail}', 'generation_method': 'synthetic_neutral', 'course_code': 'ME3271', 'original_clo_description': 'Kiểm tra, phát hiện và đưa ra biện pháp khắc phục được các dạng khuyết tật mối hàn.'}",train
Bài làm thiếu phép. Không liệt kê Áp dụng kiến thức  chưa chính xác,CLO 3_,0.94,1,['tổng'],0.601,negative,"{'template_used': 'Bài làm thiếu {concept}. Không {action} {detail}', 'generation_method': 'synthetic_negative', 'course_code': '', 'original_clo_description': 'Các kiến thức tổng quan về mạch số ( cổng logic, định lý, các phép toán logic .. ).'}",train
Bài làm áp dụng tính và Thể hiện hiểu biết sâu sắc về chức đầy đủ,CLO11_,3.56,3,"['toán', 'tính', 'nhân', 'phản', 'thuyết']",0.928,positive,"{'template_used': 'Bài làm {action} {concept} và {detail} {quality}', 'generation_method': 'synthetic_positive', 'course_code': '', 'original_clo_description': 'Tính toán, lập báo cáo, thuyết trình, phản biện, tổ chức công việc cá nhân; lập kế hoạch, điều phối công việc khi làm việc nhóm'}",train
